allele	threshold	threshold_min	threshold_max	mean_f1
IGHV1-BEKE*01/IGHV1-BEKE*11	0.0001	0.0001	0.001	0.871776674398459
IGHV3-4GAP*09	0.0001	0.0001	0.0002	0.871776674398459
IGHV3-4PJH*11	0.0003	0.0003	0.02	0.871944139541527
IGHV3-GYPG*10	0.0003	0.0003	0.009	0.871839307189424
IGHV3-GYPG*20	0.0001	0.0001	0.001	0.871776674398459
IGHV3-MEBQ*07	0.0001	0.0001	0.0001	0.871776674398459
IGHV4-4MLZ*12	0.0001	0.0001	0.008	0.871776674398459
IGHV4-4NGE*03	0.0001	0.0001	0.01	0.871776674398459
IGHV4-5ARF*04	0.0001	0.0001	0.01	0.871776674398459
IGHV4-64DR*07/IGHV4-64DR*16	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-7UKP*04	0.0003	0.0003	0.008	0.871839307189424
IGHV4-EITI*13	0.0003	0.0003	0.007	0.87191015520076
IGHV4-JA6D*17	0.0001	0.0001	0.02	0.871776674398459
IGHV4-NBRY*04	0.0002	0.0002	0.003	0.871866748353365
IGHV4-NZ7A*06	0.0001	0.0001	0.001	0.871776674398459
IGHV4-VX5Q*16	0.0001	0.0001	0.002	0.871776674398459
IGHV1-Y7SR*02	0.0002	0.0002	0.003	0.87187515204201
IGHV2-4QUM*05	0.0001	0.0001	0.004	0.871776674398459
IGHV2-D2TO*04	0.0001	0.0001	0.0005	0.871776674398459
IGHV2-DCLT*07	0.0002	0.0002	0.005	0.871839520049539
IGHV3-4PJH*15	0.0001	0.0001	0.002	0.871776674398459
IGHV3-JU2I*04	0.0001	0.0001	0.0007	0.871776674398459
IGHV3-NL4W*05	0.0001	0.0001	0.0007	0.871776674398459
IGHV3-R7MJ*02/IGHV3-R7MJ*05	0.0003	0.0003	0.004	0.871844873435488
IGHV4-5WKJ*11	0.0004	0.0004	0.01	0.871912809096691
IGHV4-64DR*03/IGHV4-64DR*12	0.0001	0.0001	0.004	0.871776674398459
IGHV4-7UKP*05/IGHV4-7UKP*08	0.0001	0.0001	0.003	0.871776674398459
IGHV4-E2ZN*04	0.0001	0.0001	0.01	0.871776674398459
IGHV4-JA6D*11/IGHV4-JA6D*15	0.0001	0.0001	0.003	0.871776674398459
IGHV4-NZ7A*08/IGHV4-NZ7A*12	0.0001	0.0001	0.006	0.871776674398459
IGHV4-VX5Q*05	0.0002	0.0002	0.01	0.871839520049539
IGHV6-UXXO*01	0.0001	0.0001	0.005	0.871776674398459
IGHV8-6TUE*13	0.0001	0.0001	0.008	0.871776674398459
IGHV8-GESA*11	0.0001	0.0001	0.01	0.871776674398459
IGHV1-BSGF*10	0.0003	0.0003	0.02	0.872148770995569
IGHV1-JHF7*02	0.0001	0.0001	0.001	0.871776674398459
IGHV3-4PJH*23	0.0001	0.0001	0.005	0.871776674398459
IGHV3-756H*08	0.0001	0.0001	0.01	0.871776674398459
IGHV3-BZMP*01	0.0002	0.0002	0.02	0.871839520049539
IGHV3-DCTO*02	0.0001	0.0001	0.001	0.871776674398459
IGHV3-HFYN*12	0.0001	0.0001	0.003	0.871776674398459
IGHV3-L7BK*04	0.0002	0.0002	0.02	0.8720852156007
IGHV3-NL4W*06	0.0001	0.0001	0.0001	0.871776674398459
IGHV5-2GFF*12	0.0001	0.0001	0.02	0.871776674398459
IGHV5-D2NK*03	0.0001	0.0001	0.02	0.871776674398459
IGHV8-4WHC*06	0.0003	0.0003	0.002	0.871936199440955
IGHV8-65SO*15	0.0001	0.0001	0.0008	0.871776674398459
IGHV8-AHTF*03	0.0001	0.0001	0.02	0.871776674398459
IGHV8-DH64*08	0.0001	0.0001	0.0001	0.871776674398459
IGHV8-MBLR*09	0.0002	0.0002	0.02	0.871913277352272
IGHV1-ISRF*07	0.0001	0.0001	0.01	0.871776674398459
IGHV2-5VX5*05	0.0001	0.0001	0.002	0.871776674398459
IGHV2-D2TO*05	0.0001	0.0001	0.002	0.871776674398459
IGHV3-4GAP*08	0.0001	0.0001	0.005	0.871776674398459
IGHV3-GYPG*16	0.0001	0.0001	0.001	0.871776674398459
IGHV3-L7BK*01	0.0001	0.0001	0.02	0.871776674398459
IGHV3-LT3H*06	0.0001	0.0001	0.002	0.871776674398459
IGHV3-PHO7*05	0.0001	0.0001	0.002	0.871776674398459
IGHV3-RRYX*10	0.0001	0.0001	0.002	0.871776674398459
IGHV3-XVTV*02	0.0001	0.0001	0.002	0.871776674398459
IGHV3-XVTV*04	0.0001	0.0001	0.0005	0.871776674398459
IGHV4-4MLZ*01	0.0001	0.0001	0.005	0.871776674398459
IGHV4-64DR*10	0.0001	0.0001	0.004	0.871776674398459
IGHV4-7PM2*11	0.0001	0.0001	0.002	0.871776674398459
IGHV4-AATP*07	0.0001	0.0001	0.005	0.871776674398459
IGHV4-DJPP*03	0.0002	0.0002	0.01	0.871839520049539
IGHV4-E2ZN*03	0.0001	0.0001	0.01	0.871776674398459
IGHV4-FAZN*07	0.0001	0.0001	0.0001	0.871776674398459
IGHV4-JZNW*14	0.0001	0.0001	0.02	0.871776674398459
IGHV4-KG56*02	0.0001	0.0001	0.01	0.871776674398459
IGHV4-MYX4*08	0.0001	0.0001	0.01	0.871776674398459
IGHV4-NZ7A*01	0.0001	0.0001	0.002	0.871776674398459
IGHV8-4SV6*05	0.0002	0.0002	0.02	0.871845157674122
IGHV8-4WHC*20	0.0001	0.0001	0.008	0.871776674398459
IGHV8-6TUE*02	0.0001	0.0001	0.01	0.871776674398459
IGHV8-DH64*06	0.0001	0.0001	0.001	0.871776674398459
IGHV8-RZNS*14	0.0001	0.0001	0.001	0.871776674398459
IGHV4-AMYK*08	0.0001	0.0001	0.02	0.871776674398459
IGHV1-BSGF*06	0.0002	0.0002	0.003	0.871839520049539
IGHV2-5VX5*10	0.0001	0.0001	0.002	0.871776674398459
IGHV2-DPJA*11/IGHV2-DPJA*15	0.0002	0.0002	0.005	0.871839520049539
IGHV3-4PJH*18	0.0001	0.0001	0.0002	0.871776674398459
IGHV3-DCTO*05	0.0001	0.0001	0.0008	0.871776674398459
IGHV3-L7BK*13	0.0001	0.0001	0.005	0.871776674398459
IGHV3-LT3H*02	0.0005	0.0005	0.009	0.871839520049539
IGHV3-PHO7*06	0.0001	0.0001	0.0002	0.871776674398459
IGHV3-X5LH*09	0.0001	0.0001	0.001	0.871776674398459
IGHV4-5ARF*11	0.0001	0.0001	0.01	0.871776674398459
IGHV4-64DR*11	0.0001	0.0001	0.005	0.871776674398459
IGHV4-BQLH*01	0.0001	0.0001	0.009	0.871776674398459
IGHV4-CCOK*05	0.0001	0.0001	0.004	0.871776674398459
IGHV4-EITI*01	0.0001	0.0001	0.009	0.871776674398459
IGHV4-JZNW*09	0.0002	0.0002	0.005	0.871839520049539
IGHV4-MYX4*02	0.0002	0.0002	0.007	0.871839520049539
IGHV4-NZ7A*02	0.0001	0.0001	0.004	0.871776674398459
IGHV4-XTDW*06	0.0002	0.0002	0.01	0.871839520049539
IGHV5-2GFF*05	0.0001	0.0001	0.002	0.871776674398459
IGHV8-GESA*21	0.0001	0.0001	0.004	0.871776674398459
IGHV8-RZNS*01	0.0001	0.0001	0.0004	0.871776674398459
IGHV1-I24O*01	0.0001	0.0001	0.02	0.871776674398459
IGHV4-YE26*08	0.0001	0.0001	0.01	0.871776674398459
IGHV8-WAVT*05	0.0001	0.0001	0.006	0.871776674398459
IGHV3-MGEX*05	0.0003	0.0003	0.02	0.871847522409794
IGHV3-MGEX*06	0.0003	0.0003	0.02	0.871946000053346
IGHV3-NL4W*02	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-V7V4*01	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-VX5Q*15	0.0001	0.0001	0.01	0.871776674398459
IGHV4-XTDW*05	0.0001	0.0001	0.01	0.871776674398459
IGHV3-X5LH*02	0.0003	0.0003	0.02	0.871851782967896
IGHV4-MLR2*06	0.0001	0.0001	0.003	0.871776674398459
IGHV3-4PJH*03	0.0001	0.0001	0.001	0.871776674398459
IGHV3-DY3H*02	0.0001	0.0001	0.0002	0.871776674398459
IGHV3-MCXM*04	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-O76Z*01	0.0001	0.0001	0.02	0.871776674398459
IGHV3-PHO7*02	0.0001	0.0001	0.002	0.871776674398459
IGHV3-X5LH*17	0.0001	0.0001	0.02	0.871776674398459
IGHV4-4NGE*05	0.0001	0.0001	0.01	0.871776674398459
IGHV4-4NGE*06	0.0001	0.0001	0.02	0.871776674398459
IGHV4-5ARF*16	0.0001	0.0001	0.02	0.871776674398459
IGHV4-64DR*05	0.0001	0.0001	0.004	0.871776674398459
IGHV4-7PM2*02	0.0001	0.0001	0.01	0.871776674398459
IGHV4-DXH5*01	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-FAZN*08	0.0001	0.0001	0.01	0.871776674398459
IGHV4-HDAZ*13	0.0001	0.0001	0.02	0.871776674398459
IGHV4-JA6D*14	0.0001	0.0001	0.004	0.871776674398459
IGHV4-JA6D*16	0.0001	0.0001	0.02	0.871776674398459
IGHV4-NZ7A*04	0.0001	0.0001	0.003	0.871776674398459
IGHV4-YE26*12	0.0002	0.0002	0.02	0.871839520049539
IGHV5-2GFF*07	0.0001	0.0001	0.004	0.871776674398459
IGHV5-D2NK*07	0.0002	0.0002	0.02	0.871846463723412
IGHV8-65SO*08	0.0001	0.0001	0.001	0.871776674398459
IGHV8-AHTF*08	0.0001	0.0001	0.0005	0.871776674398459
IGHV8-GESA*13	0.0002	0.0002	0.001	0.871866748353365
IGHV8-RZNS*07	0.0001	0.0001	0.0003	0.871776674398459
IGHV1-BSGF*11	0.0002	0.0002	0.02	0.871866748353365
IGHV4-NBRY*03	0.0002	0.0002	0.003	0.871915893038975
IGHV4-XTDW*18	0.0001	0.0001	0.02	0.871776674398459
IGHV4-Y4FC*04	0.0001	0.0001	0.006	0.871776674398459
IGHV1-ISRF*09	0.0003	0.0003	0.02	0.871854207347964
IGHV2-5VX5*03	0.0001	0.0001	0.007	0.871776674398459
IGHV3-BKKC*09	0.0001	0.0001	0.003	0.871776674398459
IGHV3-HFYN*06	0.0001	0.0001	0.004	0.871776674398459
IGHV4-EITI*17	0.0001	0.0001	0.008	0.871776674398459
IGHV4-NFRM*06	0.0001	0.0001	0.001	0.871776674398459
IGHV5-D2NK*14	0.0003	0.0003	0.02	0.871854207347964
IGHV8-RZNS*02	0.0001	0.0001	0.001	0.871776674398459
IGHV1-JIGE*04	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-L7BK*09	0.0002	0.0002	0.02	0.871849016251485
IGHV3-MCXM*02	0.0001	0.0001	0.0001	0.871776674398459
IGHV4-CCOK*03	0.0001	0.0001	0.004	0.871776674398459
IGHV4-4NGE*01	0.0001	0.0001	0.01	0.871776674398459
IGHV4-MLR2*09	0.0002	0.0002	0.02	0.871892479109605
IGHV2-DCLT*05/IGHV2-DCLT*09	0.0002	0.0002	0.02	0.871925410252418
IGHV3-BZMP*03	0.0001	0.0001	0.02	0.871776674398459
IGHV4-EAIX*08	0.0001	0.0001	0.02	0.871776674398459
IGHV3-HFYN*03	0.0002	0.0002	0.004	0.871839520049539
IGHV3-HFYN*14	0.0002	0.0002	0.02	0.871915110691399
IGHV1-VCNV*02	0.0001	0.0001	0.0001	0.871776674398459
IGHV12-7776*01	0.0001	0.0001	0.02	0.871776674398459
IGHV2-D2TO*06	0.0001	0.0001	0.001	0.871776674398459
IGHV3-7HCW*04	0.0001	0.0001	0.02	0.871776674398459
IGHV3-X5LH*19	0.0001	0.0001	0.02	0.871776674398459
IGHV8-RZNS*18	0.0001	0.0001	0.0001	0.871776674398459
IGHV13-PSOC*01	0.0001	0.0001	0.0002	0.871776674398459
IGHV8-6TUE*11	0.0003	0.0003	0.02	0.871837721797403
IGHV3-A7N6*02	0.0002	0.0002	0.02	0.871845157674122
IGHV3-DY3H*04	0.0001	0.0001	0.02	0.871776674398459
IGHV1-BEKE*04	0.0001	0.0001	0.02	0.871776674398459
IGHV4-CCOK*02	0.0001	0.0001	0.01	0.871776674398459
IGHV8-WAVT*06	0.0002	0.0002	0.02	0.871850212648955
IGHV4-7BJU*02	0.0001	0.0001	0.01	0.871776674398459
IGHV4-MLR2*08	0.0001	0.0001	0.02	0.871776674398459
IGHV4-XTDW*17	0.0001	0.0001	0.02	0.871776674398459
IGHV1-ISRF*03	0.0001	0.0001	0.01	0.871776674398459
IGHV3-WOIZ*01	0.0001	0.0001	0.002	0.871776674398459
IGHV4-4NGE*04	0.0001	0.0001	0.02	0.871776674398459
IGHV4-5WKJ*16	0.0001	0.0001	0.004	0.871776674398459
IGHV4-JA6D*18	0.0001	0.0001	0.01	0.871776674398459
IGHV4-Y4FC*05	0.0001	0.0001	0.005	0.871776674398459
IGHV8-4WHC*19	0.0001	0.0001	0.004	0.871776674398459
IGHV4-4NGE*13	0.0001	0.0001	0.02	0.871776674398459
IGHV4-R3YH*01	0.0001	0.0001	0.02	0.871776674398459
IGHV8-65SO*02	0.0001	0.0001	0.02	0.871776674398459
IGHV3-RSQ5*09	0.0002	0.0002	0.02	0.871847095671317
IGHV4-7UKP*03	0.004	0.004	0.02	0.871847409763312
IGHV4-EAIX*05	0.0001	0.0001	0.02	0.871776674398459
IGHV4-MLR2*04	0.0001	0.0001	0.01	0.871776674398459
IGHV8-4WHC*13	0.0001	0.0001	0.01	0.871776674398459
IGHV8-WAVT*01	0.0001	0.0001	0.01	0.871776674398459
IGHV8-WAVT*04	0.0001	0.0001	0.02	0.871776674398459
IGHV4-HDAZ*02	0.0001	0.0001	0.02	0.871776674398459
IGHV4-MLR2*07	0.0002	0.0002	0.02	0.871842258093343
IGHV3-MGEX*02	0.0001	0.0001	0.02	0.871776674398459
IGHV4-2QEK*03	0.008	0.008	0.02	0.871850212648955
IGHV4-FAZN*01	0.0005	0.0005	0.02	0.871850212648955
IGHV4-FAZN*02	0.0001	0.0001	0.01	0.871776674398459
IGHV4-5WKJ*10	0.0001	0.0001	0.02	0.871776674398459
IGHV4-EAIX*12	0.0001	0.0001	0.02	0.871776674398459
IGHV1-BSGF*01	0.0001	0.0001	0.009	0.871776674398459
IGHV1-ISRF*14	0.0001	0.0001	0.02	0.871776674398459
IGHV2-DPJA*13	0.0002	0.0002	0.02	0.871858876338246
IGHV2-DPJA*14	0.0001	0.0001	0.02	0.871776674398459
IGHV3-C4HU*02	0.0002	0.0002	0.02	0.871858876338246
IGHV3-O76Z*06	0.0001	0.0001	0.001	0.871776674398459
IGHV4-4MLZ*11	0.0001	0.0001	0.008	0.871776674398459
IGHV8-6TUE*10	0.0002	0.0002	0.02	0.871858876338246
IGHV4-EAIX*06	0.0001	0.0001	0.02	0.871776674398459
IGHV7-S2SK*13	0.0001	0.0001	0.02	0.871776674398459
IGHV3-RRYX*06	0.0001	0.0001	0.02	0.871776674398459
IGHV4-HDAZ*04	0.0001	0.0001	0.02	0.871776674398459
IGHV1-57IM*02	0.0001			
IGHV1-57IM*03	0.0001			
IGHV1-BEKE*02	0.0001			
IGHV1-BEKE*03	0.0001			
IGHV1-BEKE*10	0.0001			
IGHV1-BSGF*03	0.0001			
IGHV1-BSGF*04	0.0001			
IGHV1-BSGF*08	0.0001			
IGHV1-BSGF*09	0.0001			
IGHV1-BSGF*13	0.0001			
IGHV1-BSGF*16	0.0001			
IGHV1-BSGF*17	0.0001			
IGHV1-DAVK*01	0.0001			
IGHV1-FO6G*03	0.0001			
IGHV1-ISRF*01	0.0001			
IGHV1-ISRF*02	0.0001			
IGHV1-ISRF*05	0.0001			
IGHV1-ISRF*06	0.0001			
IGHV1-ISRF*11	0.0001			
IGHV1-ISRF*12	0.0001			
IGHV1-ISRF*16	0.0001			
IGHV1-RO6H*01	0.0001			
IGHV1-TNJW*01	0.0001			
IGHV1-VCNV*01	0.0001			
IGHV1-VCNV*04	0.0001			
IGHV1-VCNV*06	0.0001			
IGHV1-VCNV*07	0.0001			
IGHV1-VCNV*08	0.0001			
IGHV1-VCNV*09	0.0001			
IGHV1-VCNV*10	0.0001			
IGHV1-Y4Q6*01	0.0001			
IGHV1-Y4Q6*02	0.0001			
IGHV1-ZGGJ*01	0.0001			
IGHV10-LLQ3*01	0.0001			
IGHV11-3ZCZ*01	0.0001			
IGHV13-PSOC*03	0.0001			
IGHV2-4QUM*01	0.0001			
IGHV2-4QUM*02	0.0001			
IGHV2-4QUM*03/IGHV2-4QUM*07	0.0001			
IGHV2-4QUM*10	0.0001			
IGHV2-5VX5*07	0.0001			
IGHV2-5VX5*08	0.0001			
IGHV2-5VX5*09	0.0001			
IGHV2-DCLT*01	0.0001			
IGHV2-DCLT*02	0.0001			
IGHV2-DCLT*03	0.0001			
IGHV2-DPJA*01	0.0001			
IGHV2-V7ET*02	0.0001			
IGHV2-V7ET*03	0.0001			
IGHV2-V7ET*04	0.0001			
IGHV3-2K4H*01	0.0001			
IGHV3-2K4H*02	0.0001			
IGHV3-37F2*03	0.0001			
IGHV3-37F2*04	0.0001			
IGHV3-37F2*06	0.0001			
IGHV3-37F2*07	0.0001			
IGHV3-4GAP*01	0.0001			
IGHV3-4GAP*11	0.0001			
IGHV3-4PJH*01	0.0001			
IGHV3-4PJH*04	0.0001			
IGHV3-4PJH*05	0.0001			
IGHV3-4PJH*06	0.0001			
IGHV3-4PJH*09	0.0001			
IGHV3-4PJH*12	0.0001			
IGHV3-4PJH*14	0.0001			
IGHV3-4PJH*16	0.0001			
IGHV3-4PJH*17	0.0001			
IGHV3-4PJH*19	0.0001			
IGHV3-4PJH*21	0.0001			
IGHV3-4PJH*24	0.0001			
IGHV3-4PJH*25	0.0001			
IGHV3-4PJH*26	0.0001			
IGHV3-4PJH*27	0.0001			
IGHV3-4RPY*02	0.0001			
IGHV3-4RPY*04	0.0001			
IGHV3-4TKM*01	0.0001			
IGHV3-756H*01	0.0001			
IGHV3-756H*02	0.0001			
IGHV3-756H*03	0.0001			
IGHV3-756H*04	0.0001			
IGHV3-756H*05	0.0001			
IGHV3-756H*07	0.0001			
IGHV3-756H*09	0.0001			
IGHV3-756H*10	0.0001			
IGHV3-756H*11	0.0001			
IGHV3-756H*12	0.0001			
IGHV3-756H*13	0.0001			
IGHV3-7HCW*01	0.0001			
IGHV3-A7N6*04	0.0001			
IGHV3-A7N6*06	0.0001			
IGHV3-A7N6*07	0.0001			
IGHV3-B5E7*01	0.0001			
IGHV3-B5E7*02	0.0001			
IGHV3-BKKC*01	0.0001			
IGHV3-BKKC*02	0.0001			
IGHV3-BKKC*04	0.0001			
IGHV3-BKKC*05	0.0001			
IGHV3-BKKC*07	0.0001			
IGHV3-BKKC*08	0.0001			
IGHV3-BKKC*11	0.0001			
IGHV3-BZMP*05	0.0001			
IGHV3-BZMP*08	0.0001			
IGHV3-BZMP*09	0.0001			
IGHV3-C4HU*01	0.0001			
IGHV3-C4HU*04	0.0001			
IGHV3-C4HU*05	0.0001			
IGHV3-DCTO*01	0.0001			
IGHV3-DCTO*04	0.0001			
IGHV3-DCTO*06	0.0001			
IGHV3-DY3H*06	0.0001			
IGHV3-E6ZX*02	0.0001			
IGHV3-GYPG*02	0.0001			
IGHV3-GYPG*14	0.0001			
IGHV3-GYPG*15	0.0001			
IGHV3-GYPG*17	0.0001			
IGHV3-GYPG*18	0.0001			
IGHV3-HFYN*02	0.0001			
IGHV3-HFYN*05	0.0001			
IGHV3-HFYN*07	0.0001			
IGHV3-HFYN*08	0.0001			
IGHV3-HFYN*09	0.0001			
IGHV3-HFYN*10	0.0001			
IGHV3-HFYN*13	0.0001			
IGHV3-HFYN*16	0.0001			
IGHV3-JRTS*01	0.0001			
IGHV3-JRTS*03	0.0001			
IGHV3-JRTS*04	0.0001			
IGHV3-JRTS*05	0.0001			
IGHV3-JRTS*08	0.0001			
IGHV3-JU2I*03	0.0001			
IGHV3-L7BK*03	0.0001			
IGHV3-L7BK*05	0.0001			
IGHV3-L7BK*07	0.0001			
IGHV3-L7BK*10	0.0001			
IGHV3-L7BK*11	0.0001			
IGHV3-L7BK*12	0.0001			
IGHV3-LT3H*01	0.0001			
IGHV3-LT3H*03	0.0001			
IGHV3-LT3H*04	0.0001			
IGHV3-LT3H*05	0.0001			
IGHV3-MCXM*05	0.0001			
IGHV3-MCXM*08	0.0001			
IGHV3-MEBQ*01	0.0001			
IGHV3-MEBQ*03	0.0001			
IGHV3-MEBQ*05	0.0001			
IGHV3-MEBQ*06	0.0001			
IGHV3-MGEX*01	0.0001			
IGHV3-MGEX*04	0.0001			
IGHV3-N72G*01	0.0001			
IGHV3-O76Z*02	0.0001			
IGHV3-OLUF*01	0.0001			
IGHV3-OLUF*02	0.0001			
IGHV3-OLUF*03	0.0001			
IGHV3-OLUF*04	0.0001			
IGHV3-OLUF*05	0.0001			
IGHV3-OLUF*06	0.0001			
IGHV3-OLUF*07	0.0001			
IGHV3-OLUF*08	0.0001			
IGHV3-PHO7*03	0.0001			
IGHV3-PHO7*04	0.0001			
IGHV3-PJYR*01	0.0001			
IGHV3-PRG6*01	0.0001			
IGHV3-PRG6*02	0.0001			
IGHV3-PTFK*02	0.0001			
IGHV3-PTFK*03	0.0001			
IGHV3-PTFK*05	0.0001			
IGHV3-R7MJ*04	0.0001			
IGHV3-R7MJ*07	0.0001			
IGHV3-RRYX*01	0.0001			
IGHV3-RRYX*02	0.0001			
IGHV3-RRYX*04	0.0001			
IGHV3-RRYX*05	0.0001			
IGHV3-RRYX*08	0.0001			
IGHV3-RSQ5*01	0.0001			
IGHV3-RSQ5*02	0.0001			
IGHV3-RSQ5*05	0.0001			
IGHV3-RSQ5*06	0.0001			
IGHV3-RSQ5*07	0.0001			
IGHV3-SOZS*01	0.0001			
IGHV3-SOZS*02	0.0001			
IGHV3-SOZS*03	0.0001			
IGHV3-WOIZ*02	0.0001			
IGHV3-WPIB*01	0.0001			
IGHV3-X5LH*01	0.0001			
IGHV3-X5LH*06	0.0001			
IGHV3-X5LH*08	0.0001			
IGHV3-X5LH*11	0.0001			
IGHV3-X5LH*12	0.0001			
IGHV3-X5LH*13	0.0001			
IGHV3-X5LH*14	0.0001			
IGHV3-X5LH*15	0.0001			
IGHV3-X5LH*16	0.0001			
IGHV3-ZJGS*01	0.0001			
IGHV4-2QEK*02/IGHV4-2QEK*05	0.0001			
IGHV4-4GQY*01	0.0001			
IGHV4-4GQY*02	0.0001			
IGHV4-4GQY*05	0.0001			
IGHV4-4M7V*01	0.0001			
IGHV4-4M7V*02	0.0001			
IGHV4-4M7V*03	0.0001			
IGHV4-4M7V*06	0.0001			
IGHV4-4M7V*07	0.0001			
IGHV4-4M7V*08	0.0001			
IGHV4-4M7V*09	0.0001			
IGHV4-4M7V*10	0.0001			
IGHV4-4M7V*12	0.0001			
IGHV4-4MLZ*09	0.0001			
IGHV4-4MLZ*10	0.0001			
IGHV4-4MLZ*13	0.0001			
IGHV4-4MLZ*16	0.0001			
IGHV4-4NGE*07	0.0001			
IGHV4-4NGE*09	0.0001			
IGHV4-4NGE*10	0.0001			
IGHV4-4NGE*11	0.0001			
IGHV4-4V2C*01	0.0001			
IGHV4-4V2C*04	0.0001			
IGHV4-5ARF*01	0.0001			
IGHV4-5ARF*02	0.0001			
IGHV4-5ARF*06	0.0001			
IGHV4-5ARF*07	0.0001			
IGHV4-5ARF*08	0.0001			
IGHV4-5ARF*09	0.0001			
IGHV4-5ARF*10	0.0001			
IGHV4-5ARF*15/IGHV4-5ARF*18	0.0001			
IGHV4-5WKJ*01	0.0001			
IGHV4-5WKJ*02	0.0001			
IGHV4-5WKJ*03	0.0001			
IGHV4-5WKJ*05	0.0001			
IGHV4-5WKJ*06	0.0001			
IGHV4-5WKJ*07	0.0001			
IGHV4-5WKJ*17	0.0001			
IGHV4-5WKJ*18	0.0001			
IGHV4-64DR*01	0.0001			
IGHV4-64DR*02	0.0001			
IGHV4-64DR*04	0.0001			
IGHV4-64DR*08	0.0001			
IGHV4-64DR*14	0.0001			
IGHV4-64DR*15	0.0001			
IGHV4-6KBL*01	0.0001			
IGHV4-6KBL*02	0.0001			
IGHV4-6KBL*03	0.0001			
IGHV4-6KBL*04	0.0001			
IGHV4-6LZZ*01	0.0001			
IGHV4-7BJU*01	0.0001			
IGHV4-7PM2*01	0.0001			
IGHV4-7PM2*03	0.0001			
IGHV4-7PM2*06	0.0001			
IGHV4-7PM2*07	0.0001			
IGHV4-7PM2*09	0.0001			
IGHV4-7PM2*14	0.0001			
IGHV4-AATP*02	0.0001			
IGHV4-AATP*06/IGHV4-AATP*09	0.0001			
IGHV4-AMYK*02	0.0001			
IGHV4-AMYK*03	0.0001			
IGHV4-AMYK*04	0.0001			
IGHV4-AMYK*06	0.0001			
IGHV4-BQLH*02	0.0001			
IGHV4-BQLH*03	0.0001			
IGHV4-BQLH*04	0.0001			
IGHV4-CCOK*01	0.0001			
IGHV4-CCOK*04	0.0001			
IGHV4-CCOK*07	0.0001			
IGHV4-CCOK*08	0.0001			
IGHV4-DJPP*01	0.0001			
IGHV4-DJPP*02	0.0001			
IGHV4-DJPP*04	0.0001			
IGHV4-DJPP*05	0.0001			
IGHV4-DJPP*07	0.0001			
IGHV4-DJPP*08	0.0001			
IGHV4-DXH5*04	0.0001			
IGHV4-E2ZN*01	0.0001			
IGHV4-E2ZN*02	0.0001			
IGHV4-EAIX*01	0.0001			
IGHV4-EAIX*02	0.0001			
IGHV4-EAIX*04	0.0001			
IGHV4-EAIX*09	0.0001			
IGHV4-EAIX*10	0.0001			
IGHV4-EITI*14	0.0001			
IGHV4-EITI*16	0.0001			
IGHV4-FAZN*05	0.0001			
IGHV4-FAZN*06	0.0001			
IGHV4-FAZN*09	0.0001			
IGHV4-FAZN*10/IGHV4-FAZN*15	0.0001			
IGHV4-FAZN*11	0.0001			
IGHV4-HDAZ*01	0.0001			
IGHV4-HDAZ*05	0.0001			
IGHV4-HDAZ*08	0.0001			
IGHV4-HDAZ*09	0.0001			
IGHV4-HHZI*01	0.0001			
IGHV4-HHZI*02	0.0001			
IGHV4-HNNT*01	0.0001			
IGHV4-HZTT*01	0.0001			
IGHV4-HZTT*02	0.0001			
IGHV4-HZTT*03	0.0001			
IGHV4-I3XU*01	0.0001			
IGHV4-I3XU*02	0.0001			
IGHV4-JA6D*08	0.0001			
IGHV4-JA6D*12	0.0001			
IGHV4-JA6D*21	0.0001			
IGHV4-JJNU*02	0.0001			
IGHV4-JJNU*03	0.0001			
IGHV4-JZNW*01	0.0001			
IGHV4-JZNW*02	0.0001			
IGHV4-JZNW*03	0.0001			
IGHV4-JZNW*04	0.0001			
IGHV4-JZNW*06	0.0001			
IGHV4-JZNW*07	0.0001			
IGHV4-JZNW*08	0.0001			
IGHV4-JZNW*12	0.0001			
IGHV4-JZNW*13	0.0001			
IGHV4-JZNW*15	0.0001			
IGHV4-JZNW*16	0.0001			
IGHV4-KG56*01	0.0001			
IGHV4-MLR2*01	0.0001			
IGHV4-MLR2*02	0.0001			
IGHV4-MLR2*03	0.0001			
IGHV4-MYX4*01	0.0001			
IGHV4-MYX4*03	0.0001			
IGHV4-MYX4*04	0.0001			
IGHV4-N2SB*02	0.0001			
IGHV4-NBRY*01	0.0001			
IGHV4-NBRY*02	0.0001			
IGHV4-NFRM*01	0.0001			
IGHV4-NFRM*02	0.0001			
IGHV4-NFRM*05	0.0001			
IGHV4-NFRM*07	0.0001			
IGHV4-NFRM*08	0.0001			
IGHV4-NFRM*10	0.0001			
IGHV4-NZ7A*03	0.0001			
IGHV4-NZ7A*05	0.0001			
IGHV4-NZ7A*09	0.0001			
IGHV4-U2RC*01	0.0001			
IGHV4-U2RC*03	0.0001			
IGHV4-U2RC*06	0.0001			
IGHV4-VX5Q*01	0.0001			
IGHV4-VX5Q*02	0.0001			
IGHV4-VX5Q*03	0.0001			
